id,domain,campaign
88,prisrichecytfe.tk,142
94,puzzterdipormato.ga,136
158,prefertadownbillcor.ga,34
518,unenruepros.ga,607
519,magasa.ga,608
520,choiralecdideti.tk,609
521,daimostask.tk,610
522,giiberte.tk,611
529,tiopheter.tk,618
533,sounsetamure.ml,622
534,eltiageligh.tk,623
535,grumimcades.tk,624
536,missojuncfitzsodwa.cf,625
537,naniswiwollkerz.tk,626
539,ecefel.tk,628
540,destmigdemaverrou.tk,629
542,blogedmarater.tk,631
543,sticovrhinazvochi.cf,632
544,dicolerojuxvi.tk,633
545,necphawi.tk,634
546,efarfragrewmene.tk,635
548,climlessvophilsumpcar.tk,637
549,teinofemilvers.tk,638
550,tiralina.ml,639
551,mopata.tk,640
552,bilvire.gq,641
553,inofspooktiadio.tk,642
555,jaybornfofer.ml,644
556,erunufblog.tk,645
557,puytrapalobto.tk,646
558,mimingna.tk,647
559,gilchralans.ga,648
560,seomusiparsea.ml,649
561,foxquattsingwi.tk,650
563,righpunchwoodf.tk,652
564,webperup.tk,653
565,coruricrobul.tk,654
566,atcaariti.tk,655
568,softcepmater.tk,657
569,demeka.tk,658
570,neulitahoso.gq,659
571,oloncalno.tk,660
572,geikoronamu.cf,661
573,tzebbanpgloscheckdesqherz.tk,662
574,vibuchxorekapwort.tk,663
575,cisipicon.tk,664
576,reefourpmogopinwi.tk,665
577,akimhotemsoi.cf,666
578,tranuruanazomdi.cf,667
579,eroppasfillbemit.gq,668
580,vilivevilofea.tk,669
581,viburpinakbasul.tk,670
582,troubbuboot.ml,671
583,blacpirscompeme.gq,672
584,cuikronangano.ml,673
585,cuslernca.tk,674
586,surtiamedtue.tk,675
587,alinifter.tk,676
588,ockamitobank.tk,677
589,charciatherlolipa.tk,678
590,birocomlist.ga,679
591,jotbiesofhe.tk,680
592,trancesswacen.tk,681
593,tenconaleti.gq,682
594,beybrecatnet.tk,683
595,caukanma.tk,684
596,lurnaarutumi.tk,685
597,sandchosupptavinleu.ga,686
598,vawasibdaitran.tk,687
599,lipnolabdyda.ml,688
600,ninogantidihops.tk,689
601,ziepines.tk,690
602,giabaste.tk,691
603,syspoytipcematemp.gq,692
604,pinfanibacklu.tk,693
605,ernacardialamin.ml,694
606,iselquila.tk,695
607,inevad.cf,696
608,waiphpadtingka.tk,697
609,quegutosemonthpar.tk,698
610,chenfpiggamb.tk,699
718,ddadfacowsouffsu.tk,807
719,searrickcor.tk,808
720,unhuyver.tk,809
721,inmixavoland.tk,810
722,pootirilican.tk,811
723,matisa.tk,812
724,promdescpepel.tk,813
725,gelide.tk,814
726,portnamasmasacer.ga,815
727,compmitsuafoundfo.tk,816
728,waywebnasoun.tk,817
729,esurevud.tk,818
730,jostdentseb.cf,819
731,adweaniwakarl.ml,820
